num_nodes,num_keys,checkpoint,checkpoint_scan,checkpoint_network,checkpoint_verify,checkpoint_update
100,10000000,167.9668,11.38151,120.8603,13.692034,21.490934
100,10000000,168.01242,11.980168,120.54545,13.948188,20.851353
100,10000000,168.03926,11.435873,120.48526,13.658888,21.742275
100,10000000,168.04982,11.357578,120.167404,13.810255,21.97202
100,10000000,168.06334,11.962458,122.8619,13.579729,18.96168
100,10000000,168.06926,15.713743,115.97986,13.842867,21.818083
100,10000000,168.08209,14.1072645,117.24756,13.813075,22.217144
100,10000000,168.07603,11.431068,120.46139,13.645945,21.961391
100,10000000,168.09222,15.799113,115.56441,14.202544,21.79222
100,10000000,168.06705,12.0862465,119.266624,14.018881,21.970703
100,10000000,168.12006,10.880944,120.35156,13.676936,22.479172
100,10000000,168.13417,12.731927,118.50519,13.714303,22.580208
100,10000000,168.11964,10.892373,120.614006,13.792648,22.224167
100,10000000,168.1154,14.087274,117.5797,14.032542,21.66344
100,10000000,168.1046,14.511405,117.20196,14.095702,21.74775
100,10000000,168.15584,13.865962,117.013466,13.716785,22.794422
100,10000000,168.14395,12.385797,122.72946,13.8627615,18.616337
100,10000000,168.14893,13.320934,117.909424,14.236058,21.873236
100,10000000,168.18402,11.73744,119.94095,13.896014,22.054253
100,10000000,168.17877,11.349436,120.63266,13.733335,21.886293
100,10000000,168.19124,12.545214,118.418785,14.020991,22.65146
100,10000000,168.22472,12.487747,117.97899,14.067472,22.995039
100,10000000,168.2089,14.773977,116.96679,14.163614,21.781849
100,10000000,168.19598,12.944607,118.60097,14.136379,21.978334
100,10000000,168.24063,13.492273,118.602585,13.80434,21.761562
100,10000000,168.2077,14.77438,117.417984,13.978775,21.309183
100,10000000,168.23308,12.662541,118.52677,13.889687,22.401001
100,10000000,168.04677,12.372711,119.85675,14.033797,21.072771
100,10000000,168.22498,12.287552,119.27824,13.982358,21.982407
100,10000000,168.47348,16.488728,101.80178,14.815237,34.34101
100,10000000,168.53421,17.515738,99.22013,14.637087,36.126583
100,10000000,168.54675,14.787214,102.37659,14.477261,36.12634
100,10000000,168.5608,14.758683,103.50264,14.70463,34.593163
100,10000000,168.55374,16.951601,102.683586,14.329638,33.7363
100,10000000,168.57253,14.112465,103.47133,14.42059,35.794292
100,10000000,168.63213,17.935608,103.74684,14.428771,31.471838
100,10000000,168.60252,14.728412,103.34186,14.304035,35.16656
100,10000000,168.5856,15.810771,101.92406,14.231039,35.79289
100,10000000,168.62338,17.584507,99.97301,14.673272,35.527893
100,10000000,168.62097,17.068228,100.21862,14.499391,35.81766
100,10000000,168.66454,15.583627,102.5514,14.2765665,35.42567
100,10000000,168.64897,16.839808,102.98083,14.606793,33.198467
100,10000000,168.65472,14.662382,103.35542,14.34843,35.428703
100,10000000,168.63145,15.371099,102.52737,14.661156,35.2809
100,10000000,168.66878,18.400835,99.61887,14.507236,35.092255
100,10000000,168.64424,15.213511,101.37926,14.614382,36.39104
100,10000000,168.68954,15.891107,102.30654,14.35955,35.366463
100,10000000,168.6993,16.841581,101.26054,14.413268,35.40692
100,10000000,168.56525,18.069836,99.91611,14.315946,35.293236
100,10000000,168.59828,15.8461,102.70866,14.308725,34.92619
100,10000000,168.7211,15.826545,103.377,14.330635,34.103985
100,10000000,168.7233,15.50685,101.506966,14.41206,36.280247
100,10000000,168.73584,17.838722,100.59772,14.462752,34.98177
100,10000000,168.76062,14.722608,101.716156,14.289998,36.961197
100,10000000,168.77101,16.139925,101.509254,14.413033,35.86608
100,10000000,168.74142,14.660691,103.94214,14.228328,35.189003
100,10000000,168.78195,16.963371,100.91061,14.330748,35.761856
